site,year,date,datescaled,siteyear,siteday,treeID,recorder,caterpillars,temp_m.cent,temp_ls.cent,temp_lm.cent,resid
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 2,JDS,1,1.556335259,1.05614208,1.139247616,49
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 3,ICZ,0,1.556335259,1.05614208,1.139247616,50
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 4,ABP,0,1.556335259,1.05614208,1.139247616,51
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 5,ABP,0,0.75034766,0.541354027,0.899491167,52
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 2,JDS,0,0.75034766,0.541354027,0.899491167,53
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 4,ICZ,0,0.75034766,0.541354027,0.899491167,54
PTH,2014,123,-1.767702116,PTH 2014,PTH 123 2014,PTH 3,JDS,0,2.378797064,2.020973075,2.431389481,55
PTH,2014,123,-1.767702116,PTH 2014,PTH 123 2014,PTH 1,JDS,0,2.378797064,2.020973075,2.431389481,56
TAI,2014,123,-1.767702116,TAI 2014,TAI 123 2014,TAI 2,ICZ,0,1.924531687,1.034687148,0.864537794,57
TAI,2014,123,-1.767702116,TAI 2014,TAI 123 2014,TAI 5,JDS,0,1.924531687,1.034687148,0.864537794,58
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 1,JDS,0,0.615702818,0.285267505,0.495724798,59
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 3,JDS,0,0.615702818,0.285267505,0.495724798,60
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 4,ABP,0,0.615702818,0.285267505,0.495724798,61
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 1,ABP,0,1.010393295,0.834143143,1.193222814,62
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 5,ABP,0,1.010393295,0.834143143,1.193222814,63
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 6,ABP,0,1.010393295,0.834143143,1.193222814,64
CAL,2014,124,-1.696719476,CAL 2014,CAL 124 2014,CAL 3,JDS,0,0.683556985,0.949228814,1.88394206,65
CAL,2014,124,-1.696719476,CAL 2014,CAL 124 2014,CAL 6,JDS,0,0.683556985,0.949228814,1.88394206,66
CAR,2014,124,-1.696719476,CAR 2014,CAR 124 2014,CAR 1,ABP,0,0.788289624,0.400506025,0.620249104,67
CAR,2014,124,-1.696719476,CAR 2014,CAR 124 2014,CAR 4,JDS,0,0.788289624,0.400506025,0.620249104,68
CAR,2014,124,-1.696719476,CAR 2014,CAR 124 2014,CAR 6,ICZ,0,0.788289624,0.400506025,0.620249104,69
CRU,2014,124,-1.696719476,CRU 2014,CRU 124 2014,CRU 2,JDS,0,0.23725887,0.20521861,0.737804659,70
CRU,2014,124,-1.696719476,CRU 2014,CRU 124 2014,CRU 3,JDS,0,0.23725887,0.20521861,0.737804659,71
DAV,2014,124,-1.696719476,DAV 2014,DAV 124 2014,DAV 1,JDS,0,1.088387342,0.626838933,0.703823508,72
DAV,2014,124,-1.696719476,DAV 2014,DAV 124 2014,DAV 4,ABP,0,1.088387342,0.626838933,0.703823508,73
DAV,2014,124,-1.696719476,DAV 2014,DAV 124 2014,DAV 2,ICZ,0,1.088387342,0.626838933,0.703823508,74
DEL,2014,124,-1.696719476,DEL 2014,DEL 124 2014,DEL 7Z,ABP,0,2.06269637,1.116545991,0.943341366,75
DEL,2014,124,-1.696719476,DEL 2014,DEL 124 2014,DEL 1,ICZ,0,2.06269637,1.116545991,0.943341366,76
DLW,2014,124,-1.696719476,DLW 2014,DLW 124 2014,DLW 2,ICZ,0,0.029018295,-0.065423397,0.401457437,77
DLW,2014,124,-1.696719476,DLW 2014,DLW 124 2014,DLW 4,JDS,0,0.029018295,-0.065423397,0.401457437,78
DLW,2014,124,-1.696719476,DLW 2014,DLW 124 2014,DLW 6,JDS,0,0.029018295,-0.065423397,0.401457437,79
DOR,2014,124,-1.696719476,DOR 2014,DOR 124 2014,DOR 4,ICZ,0,1.984840219,1.300534724,1.197364679,80
DOR,2014,124,-1.696719476,DOR 2014,DOR 124 2014,DOR 5,ABP,0,1.984840219,1.300534724,1.197364679,81
DOR,2014,124,-1.696719476,DOR 2014,DOR 124 2014,DOR 1,JDS,0,1.984840219,1.300534724,1.197364679,82
DUN,2014,124,-1.696719476,DUN 2014,DUN 124 2014,DUN 4,JDS,1,1.25347266,0.797484342,1.230031346,83
FOF,2014,124,-1.696719476,FOF 2014,FOF 124 2014,FOF 6,ABP,0,1.507552521,1.060131025,1.243029362,84
FOU,2014,124,-1.696719476,FOU 2014,FOU 124 2014,FOU 4,ABP,0,2.006238533,1.296045353,1.293367655,85
FOU,2014,124,-1.696719476,FOU 2014,FOU 124 2014,FOU 3,JDS,0,2.006238533,1.296045353,1.293367655,86
FSH,2014,124,-1.696719476,FSH 2014,FSH 124 2014,FSH 1,JDS,0,0.740810953,0.680477751,1.140761504,87
FSH,2014,124,-1.696719476,FSH 2014,FSH 124 2014,FSH 3,JDS,0,0.740810953,0.680477751,1.140761504,88
FSH,2014,124,-1.696719476,FSH 2014,FSH 124 2014,FSH 6,ABP,0,0.740810953,0.680477751,1.140761504,89
GLF,2014,124,-1.696719476,GLF 2014,GLF 124 2014,GLF 2,ABP,0,1.516827818,1.2180681,1.612950493,90
GLF,2014,124,-1.696719476,GLF 2014,GLF 124 2014,GLF 6,ABP,0,1.516827818,1.2180681,1.612950493,91
GLF,2014,124,-1.696719476,GLF 2014,GLF 124 2014,GLF 7,ABP,0,1.516827818,1.2180681,1.612950493,92
INS,2014,124,-1.696719476,INS 2014,INS 124 2014,INS 3,ICZ,0,0.979674545,0.788011765,1.208358231,93
INS,2014,124,-1.696719476,INS 2014,INS 124 2014,INS 6,JDS,1,0.979674545,0.788011765,1.208358231,94
INS,2014,124,-1.696719476,INS 2014,INS 124 2014,INS 2,ABP,0,0.979674545,0.788011765,1.208358231,95
KCK,2014,124,-1.696719476,KCK 2014,KCK 124 2014,KCK 3,JDS,0,1.151421072,0.911482641,1.38929325,96
KCK,2014,124,-1.696719476,KCK 2014,KCK 124 2014,KCK 4,JDS,0,1.151421072,0.911482641,1.38929325,97
KCK,2014,124,-1.696719476,KCK 2014,KCK 124 2014,KCK 6,ICZ,0,1.151421072,0.911482641,1.38929325,98
LVN,2014,124,-1.696719476,LVN 2014,LVN 124 2014,LVN 1,ABP,0,1.646716211,1.255042377,1.421811604,99
LVN,2014,124,-1.696719476,LVN 2014,LVN 124 2014,LVN 3,ABP,0,1.646716211,1.255042377,1.421811604,100
LVN,2014,124,-1.696719476,LVN 2014,LVN 124 2014,LVN 4,ABP,0,1.646716211,1.255042377,1.421811604,101
MCH,2014,124,-1.696719476,MCH 2014,MCH 124 2014,MCH 1,ABP,0,2.462428017,1.869197777,1.985667754,102
MCH,2014,124,-1.696719476,MCH 2014,MCH 124 2014,MCH 6,ABP,0,2.462428017,1.869197777,1.985667754,103
MCH,2014,124,-1.696719476,MCH 2014,MCH 124 2014,MCH 4,ABP,0,2.462428017,1.869197777,1.985667754,104
STY,2014,124,-1.696719476,STY 2014,STY 124 2014,STY 2,ICZ,0,1.872714227,1.687729877,2.183838885,105
STY,2014,124,-1.696719476,STY 2014,STY 124 2014,STY 5,JDS,0,1.872714227,1.687729877,2.183838885,106
STY,2014,124,-1.696719476,STY 2014,STY 124 2014,STY 6,JDS,0,1.872714227,1.687729877,2.183838885,107
ALN,2014,125,-1.625736837,ALN 2014,ALN 125 2014,ALN 1,ICZ,0,1.704780199,1.118110404,1.135086901,108
AVI,2014,125,-1.625736837,AVI 2014,AVI 125 2014,AVI 4,ICZ,0,0.788794584,0.553026433,0.938971326,109
BIR,2014,125,-1.625736837,BIR 2014,BIR 125 2014,BIR 6,ICZ,0,1.074345676,0.838789826,1.286855254,110
BLA,2014,125,-1.625736837,BLA 2014,BLA 125 2014,BLA 6,ERI,0,0.629639822,0.723221586,1.229954957,111
DNC,2014,125,-1.625736837,DNC 2014,DNC 125 2014,DNC 3,ERI,0,-0.356315039,-0.311735897,0.132741663,112
DNM,2014,125,-1.625736837,DNM 2014,DNM 125 2014,DNM 3,ICZ,0,0.056146767,0.04502452,0.47487212,113
MUN,2014,125,-1.625736837,MUN 2014,MUN 125 2014,MUN 4,ICZ,0,1.556335259,1.05614208,1.139247616,114
NEW,2014,125,-1.625736837,NEW 2014,NEW 125 2014,NEW 1,ICZ,0,0.75034766,0.541354027,0.899491167,115
TOM,2014,125,-1.625736837,TOM 2014,TOM 125 2014,TOM 6,ICZ,0,0.615702818,0.285267505,0.495724798,116
BAD,2014,126,-1.554754197,BAD 2014,BAD 126 2014,BAD 3,ABP,0,1.010393295,0.834143143,1.193222814,117
CAL,2014,126,-1.554754197,CAL 2014,CAL 126 2014,CAL 5,ERI,0,0.683556985,0.949228814,1.88394206,118
CAR,2014,126,-1.554754197,CAR 2014,CAR 126 2014,CAR 2,ERI,0,0.788289624,0.400506025,0.620249104,119
CRU,2014,126,-1.554754197,CRU 2014,CRU 126 2014,CRU 6,ICZ,0,0.23725887,0.20521861,0.737804659,120
DAV,2014,126,-1.554754197,DAV 2014,DAV 126 2014,DAV 5,ERI,0,1.088387342,0.626838933,0.703823508,121
DEL,2014,126,-1.554754197,DEL 2014,DEL 126 2014,DEL 5,ICZ,0,2.06269637,1.116545991,0.943341366,122
DLW,2014,126,-1.554754197,DLW 2014,DLW 126 2014,DLW 2,ICZ,0,0.029018295,-0.065423397,0.401457437,123
DOR,2014,126,-1.554754197,DOR 2014,DOR 126 2014,DOR 3,ICZ,0,1.984840219,1.300534724,1.197364679,124
DUN,2014,126,-1.554754197,DUN 2014,DUN 126 2014,DUN 1,ICZ,0,1.25347266,0.797484342,1.230031346,125
FOF,2014,126,-1.554754197,FOF 2014,FOF 126 2014,FOF 4,ABP,0,1.507552521,1.060131025,1.243029362,126
FOU,2014,126,-1.554754197,FOU 2014,FOU 126 2014,FOU 7,ERI,0,2.006238533,1.296045353,1.293367655,127
FSH,2014,126,-1.554754197,FSH 2014,FSH 126 2014,FSH 4,ICZ,0,0.740810953,0.680477751,1.140761504,128
GLF,2014,126,-1.554754197,GLF 2014,GLF 126 2014,GLF 5,ABP,0,1.516827818,1.2180681,1.612950493,129
INS,2014,126,-1.554754197,INS 2014,INS 126 2014,INS 5,ICZ,0,0.979674545,0.788011765,1.208358231,130
KCK,2014,126,-1.554754197,KCK 2014,KCK 126 2014,KCK 6,ERI,0,1.151421072,0.911482641,1.38929325,131
